Country Name,Capital,Population,Latitude,Longitude
Mali,Bamako,18135000,17,-4
Malta,Valletta,425384,35.83333333,14.58333333
Marshall Islands,Majuro,54880,9,168
Martinique,Fort-de-France,378243,14.666667,-61
Mauritania,Nouakchott,3718678,20,-12
Mauritius,Port Louis,1262879,-20.28333333,57.55
Mayotte,Mamoudzou,226915,-12.83333333,45.16666666
Mexico,Mexico City,122273473,23,-102
Micronesia (Federated States of),Palikir,102800,6.91666666,158.25
Moldova (Republic of),Chișinău,3553100,47,29
Monaco,Monaco,38400,43.73333333,7.4
Mongolia,Ulan Bator,3093100,46,105
Montenegro,Podgorica,621810,42.5,19.3
Montserrat,Plymouth,4922,16.75,-62.2
Morocco,Rabat,33337529,32,-5
Mozambique,Maputo,26423700,-18.25,35
Myanmar,Naypyidaw,51419420,22,98
Namibia,Windhoek,2324388,-22,17
Nauru,Yaren,10084,-0.53333333,166.91666666
Nepal,Kathmandu,28431500,28,84
Netherlands,Amsterdam,17019800,52.5,5.75
New Caledonia,Nouméa,268767,-21.5,165.5
New Zealand,Wellington,4697854,-41,174
Nicaragua,Managua,6262703,13,-85
Niger,Niamey,20715000,16,8
Nigeria,Abuja,186988000,10,8
Niue,Alofi,1470,-19.03333333,-169.86666666
Norfolk Island,Kingston,2302,-29.03333333,167.95
Korea (Democratic People's Republic of),Pyongyang,25281000,40,127
Northern Mariana Islands,Saipan,56940,15.2,145.75
Norway,Oslo,5223256,62,10
Oman,Muscat,4420133,21,57
Pakistan,Islamabad,194125062,30,70
Palau,Ngerulmud,17950,7.5,134.5
"Palestine, State of",Ramallah,4682467,31.9,35.2
Panama,Panama City,3814672,9,-80
Papua New Guinea,Port Moresby,8083700,-6,147
Paraguay,Asunción,6854536,-23,-58
Peru,Lima,31488700,-10,-76
Philippines,Manila,103279800,13,122
Pitcairn,Adamstown,56,-25.06666666,-130.1
Poland,Warsaw,38437239,52,20
Portugal,Lisbon,10374822,39.5,-8
Puerto Rico,San Juan,3474182,18.25,-66.5
Qatar,Doha,2587564,25.5,51.25
Republic of Kosovo,Pristina,1733842,42.666667,21.166667
Réunion,Saint-Denis,840974,-21.15,55.5
Romania,Bucharest,19861408,46,25
Russian Federation,Moscow,146599183,60,100
Rwanda,Kigali,11553188,-2,30
Saint Barthélemy,Gustavia,9417,18.5,-63.41666666
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,4255,-15.95,-5.7
Saint Kitts and Nevis,Basseterre,46204,17.33333333,-62.75
Saint Lucia,Castries,186000,13.88333333,-60.96666666
Saint Martin (French part),Marigot,36979,18.08333333,-63.95
Saint Pierre and Miquelon,Saint-Pierre,6069,46.83333333,-56.33333333
Saint Vincent and the Grenadines,Kingstown,109991,13.25,-61.2
Samoa,Apia,194899,-13.58333333,-172.33333333
San Marino,City of San Marino,33005,43.76666666,12.41666666
Sao Tome and Principe,São Tomé,187356,1,7
Saudi Arabia,Riyadh,32248200,25,45
Senegal,Dakar,14799859,14,-14
Serbia,Belgrade,7076372,44,21
Seychelles,Victoria,91400,-4.58333333,55.66666666
Sierra Leone,Freetown,7075641,8.5,-11.5
Singapore,Singapore,5535000,1.36666666,103.8
Sint Maarten (Dutch part),Philipsburg,38247,18.033333,-63.05
Slovakia,Bratislava,5426252,48.66666666,19.5
Slovenia,Ljubljana,2064188,46.11666666,14.81666666
Solomon Islands,Honiara,642000,-8,159
Somalia,Mogadishu,11079000,10,49
South Africa,Pretoria,55653654,-29,24
South Georgia and the South Sandwich Islands,King Edward Point,30,-54.5,-37
Korea (Republic of),Seoul,50801405,37,127.5
South Sudan,Juba,12131000,7,30
Spain,Madrid,46438422,40,-4
Sri Lanka,Colombo,20966000,7,81
Sudan,Khartoum,39598700,15,30
Suriname,Paramaribo,541638,4,-56
Svalbard and Jan Mayen,Longyearbyen,2562,78,20
Swaziland,Lobamba,1132657,-26.5,31.5
Sweden,Stockholm,9894888,62,15
Switzerland,Bern,8341600,47,8
Syrian Arab Republic,Damascus,18564000,35,38
